R-Card Office iPad3,2/12/2019 12:09,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7216528
R-Card Office iPad3,2/12/2019 12:11,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7216533
R-Card Office iPad3,2/12/2019 12:14,Retail Sale Transaction Amount: $6,Retail Transaction ID: 7216645
R-Card Office iPad2,2/12/2019 12:24,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7216652
R-Card Office iPad3,2/12/2019 12:26,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7216656
R-Card Office iPad3,2/12/2019 12:26,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7216677
R-Card Office iPad2,2/12/2019 12:27,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7216690
R-Card Office iPad3,2/12/2019 12:30,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7216699
R-Card Office iPad3,2/12/2019 12:31,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7216707
R-Card Office iPad2,2/12/2019 12:33,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7216736
R-Card Office iPad3,2/12/2019 12:35,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7216801
R-Card Office iPad3,2/12/2019 12:36,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7216841
R-Card Office iPad2,2/12/2019 12:39,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7216852
R-Card Office iPad3,2/12/2019 12:41,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7216859
R-Card Office iPad3,2/12/2019 12:50,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7216860
R-Card Office iPad3,2/12/2019 12:50,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7216909
R-Card Office iPad3,2/12/2019 12:51,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7216910
R-Card Office iPad2,2/12/2019 12:53,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7216911
R-Card Office iPad3,2/12/2019 12:54,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217019
R-Card Office iPad2,2/12/2019 12:54,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7217020
R-Card Office iPad3,2/12/2019 12:56,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217025
R-Card Office iPad2,2/12/2019 12:58,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217037
R-Card Office iPad2,2/12/2019 12:58,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217056
R-Card Office iPad2,2/12/2019 13:02,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217061
R-Card Office iPad2,2/12/2019 13:02,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217084
R-Card Office iPad2,2/12/2019 13:05,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7217101
R-Card Office iPad2,2/12/2019 13:08,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7217116
R-Card Office iPad3,2/12/2019 13:10,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7231921
R-Card Office iPad3,2/12/2019 13:11,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7231960
R-Card Office iPad2,2/12/2019 13:12,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7231982
R-Card Office iPad2,2/12/2019 13:18,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7232200
R-Card Office iPad3,2/12/2019 13:19,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7232204
R-Card Office iPad2,2/12/2019 13:20,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7232441
R-Card Office iPad2,2/12/2019 13:20,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7232455
R-Card Office iPad2,2/12/2019 13:20,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7232475
R-Card Office iPad3,2/12/2019 13:22,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7232640
R-Card Office iPad3,2/12/2019 13:22,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7235421
R-Card Office iPad3,2/12/2019 13:22,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7235514
R-Card Office iPad2,2/12/2019 13:22,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7235685
R-Card Office iPad2,2/12/2019 13:23,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7235701
R-Card Office iPad2,2/12/2019 13:24,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7235704
R-Card Office iPad2,2/12/2019 13:24,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7250787
R-Card Office iPad2,2/12/2019 13:25,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7250803
R-Card Office iPad2,2/12/2019 13:26,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7250901
R-Card Office iPad3,2/12/2019 13:26,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7250905
R-Card Office iPad3,2/12/2019 13:32,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7250907
R-Card Office iPad2,2/12/2019 13:33,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7250940
R-Card Office iPad3,2/12/2019 13:35,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7250941
R-Card Office iPad3,2/12/2019 13:40,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7250942
R-Card Office iPad2,2/12/2019 13:40,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7251006
R-Card Office iPad2,2/12/2019 13:41,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7251321
R-Card Office iPad3,2/12/2019 13:46,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7254393
R-Card Office iPad3,2/13/2019 11:55,Retail Sale Transaction Amount: $0.01,Retail Transaction ID: 7254419
R-Card Office iPad1,2/13/2019 12:02,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7254713
R-Card Office iPad3,2/13/2019 12:03,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7254715
R-Card Office iPad2,2/13/2019 12:06,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7254804
R-Card Office iPad2,2/13/2019 12:06,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7254805
R-Card Office iPad3,2/13/2019 12:07,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7261603
R-Card Office iPad3,2/13/2019 12:07,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7261612
R-Card Office iPad3,2/13/2019 12:08,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7261704
R-Card Office iPad3,2/13/2019 12:09,Retail Sale Transaction Amount: $4,Retail Transaction ID: 7261790
